Orig;dest;flow
desconhecido - BA; Aurelino Leal;0
desconhecido - CE; Aurelino Leal;0
desconhecido - MA; Aurelino Leal;0
desconhecido - MG; Aurelino Leal;0
desconhecido - PE; Aurelino Leal;0
desconhecido - PI; Aurelino Leal;0
desconhecido - PR; Aurelino Leal;0
  Santa Luzia do norte; Aurelino Leal;0
 Almadino; Aurelino Leal;0
 Aurelino Leal; Aurelino Leal;0
 Camacan; Aurelino Leal;0
 Canavieiras; Aurelino Leal;0
 Caravelas; Aurelino Leal;0
 Carlos Chagas; Aurelino Leal;0
 Eunapolis; Aurelino Leal;0
 Guaratinga; Aurelino Leal;0
 Ibicarai; Aurelino Leal;0
 Ilheus; Aurelino Leal;0
 Itabuna; Aurelino Leal;0
 Itajuipe; Aurelino Leal;0
 Itamaraju; Aurelino Leal;0
 Itanhem; Aurelino Leal;0
 Itapemirim; Aurelino Leal;0
 Itubera; Aurelino Leal;0
 Medeiros Neto; Aurelino Leal;0
 Mucuri; Aurelino Leal;0
 Nova Itarana; Aurelino Leal;0
 Nova Viçosa; Aurelino Leal;0
 Oruçu; Aurelino Leal;0
 Paulo Afonso; Aurelino Leal;0
 Porto Seguro; Aurelino Leal;0
 Potiragua; Aurelino Leal;0
 Prado; Aurelino Leal;0
 Salvador; Aurelino Leal;0
 Teixeira de Freitas; Aurelino Leal;0
 Una; Aurelino Leal;0
 Uruçuba; Aurelino Leal;0
 Valencia; Aurelino Leal;0
 Vitoria da Conquista; Aurelino Leal;0
 Acopiara; Aurelino Leal;0
 Goiania; Aurelino Leal;0
 Araujos; Aurelino Leal;0
 Imperatriz; Aurelino Leal;0
 Sao Luis; Aurelino Leal;0
   Aimorés; Aurelino Leal;0
   Belo Horizonte; Aurelino Leal;0
   Bertopolis; Aurelino Leal;0
   Cachoeira da Prata; Aurelino Leal;0
   Caete; Aurelino Leal;0
   Carangola; Aurelino Leal;0
   Caratinga; Aurelino Leal;0
   Conceiçao Capim; Aurelino Leal;0
   Conselheiro Pena; Aurelino Leal;0
   Governador Valadares; Aurelino Leal;0
   Iapu; Aurelino Leal;0
   Ipatinga; Aurelino Leal;0
   Itabira; Aurelino Leal;0
   Itabirim de Mantena; Aurelino Leal;0
   Itanhomi; Aurelino Leal;0
   Itauna; Aurelino Leal;0
   Januaria; Aurelino Leal;0
   Joao Monlevade; Aurelino Leal;0
   Juaima; Aurelino Leal;0
   Ladainha; Aurelino Leal;0
   Lajinhas; Aurelino Leal;0
   Mantena; Aurelino Leal;0
   Mantenopolis; Aurelino Leal;0
   Matipo; Aurelino Leal;0
   Miradouro; Aurelino Leal;0
   Mirai; Aurelino Leal;0
   Mutum; Aurelino Leal;0
   Nanuque; Aurelino Leal;0
   Nova Era; Aurelino Leal;0
   Nova Lima; Aurelino Leal;0
   Ouro Branco; Aurelino Leal;0
   Pocrane; Aurelino Leal;0
   Resplendor; Aurelino Leal;0
   Rio Casca; Aurelino Leal;0
   Salto da Divisa; Aurelino Leal;0
   Santa Luzia; Aurelino Leal;0
   Santo Antonio de Pádua; Aurelino Leal;0
   Sao Manoel de Mutu; Aurelino Leal;0
   Teofilo Otoni; Aurelino Leal;0
   Timoteo; Aurelino Leal;0
   Ubaitaba; Aurelino Leal;0
   Valadares; Aurelino Leal;0
   Varginha; Aurelino Leal;0
  Paraiba; Aurelino Leal;0
  Jatoba; Aurelino Leal;0
  Recife; Aurelino Leal;0
  Parnaíba; Aurelino Leal;0
  Campos Dos Goytacazes; Aurelino Leal;0
  Casemiro De Abreu; Aurelino Leal;0
  Mage; Aurelino Leal;0
  Miguel Pereira; Aurelino Leal;0
  Nova Iguaçu; Aurelino Leal;0
  Parati; Aurelino Leal;0
  Penha; Aurelino Leal;0
  Rio de Janeiro; Aurelino Leal;0
  Volta Redonda; Aurelino Leal;0
  Natal; Aurelino Leal;0
  Cachoeiro do Sul; Aurelino Leal;0
  Guaibes; Aurelino Leal;0
  Santa Barbara do Oeste; Aurelino Leal;0
  Santo Andre; Aurelino Leal;0
  Sao Paulo; Aurelino Leal;0
 Cajueiro; Aurelino Leal;0
 Itapebi; Aurelino Leal;0
  Afonso Claudio; Aurelino Leal;0
  Aguia Branca; Aurelino Leal;0
  Apiaca; Aurelino Leal;0
  Aracruz; Aurelino Leal;0
  Baixo Guandu; Aurelino Leal;0
  Barra de São Francisco; Aurelino Leal;0
  Cachoeiro de Itapemirim; Aurelino Leal;0
  Castelo; Aurelino Leal;0
  Colatina; Aurelino Leal;0
  Conceicao da Barra; Aurelino Leal;0
  Conselheiro Pena; Aurelino Leal;0
  Domingos Martins; Aurelino Leal;0
  Ecoporanga; Aurelino Leal;0
  Governador Lindemberg; Aurelino Leal;0
  Ibatiba; Aurelino Leal;0
  Ibiraçu; Aurelino Leal;0
  Itaguacu; Aurelino Leal;0
  Itaunas; Aurelino Leal;0
  Jerônimo Monteiro; Aurelino Leal;0
  Joao Neiva; Aurelino Leal;0
  Laranja da Terra; Aurelino Leal;0
  Linhares; Aurelino Leal;0
  Marataizes; Aurelino Leal;0
  Montanha; Aurelino Leal;0
  Muniz Freire; Aurelino Leal;0
  Nova Venécia; Aurelino Leal;0
  Pancas; Aurelino Leal;0
  Pinheiros; Aurelino Leal;0
  Presidente Kennedy; Aurelino Leal;0
  Santa Leopoldina; Aurelino Leal;0
  Santa Teresa; Aurelino Leal;0
  Sao Gabriel da Palha; Aurelino Leal;0
  Sao Mateus; Aurelino Leal;0
  Vila Pavao; Aurelino Leal;0
RMGV - Cariacica; Aurelino Leal;0
RMGV - Fundao; Aurelino Leal;0
RMGV - Serra; Aurelino Leal;0
RMGV - Viana; Aurelino Leal;0
RMGV - Vila Velha; Aurelino Leal;0
RMGV - Vitoria; Aurelino Leal;0
RMGV; Camacan;0
desconhecido - BA; Camacan;0
desconhecido - CE; Camacan;0
desconhecido - MA; Camacan;0
desconhecido - MG; Camacan;0
desconhecido - PE; Camacan;0
desconhecido - PI; Camacan;0
desconhecido - PR; Camacan;0
  Santa Luzia do norte; Camacan;0
 Almadino; Camacan;0
 Aurelino Leal; Camacan;0
 Camacan; Camacan;0
 Canavieiras; Camacan;0
 Caravelas; Camacan;0
 Carlos Chagas; Camacan;0
 Eunapolis; Camacan;0
 Guaratinga; Camacan;0
 Ibicarai; Camacan;0
 Ilheus; Camacan;0
 Itabuna; Camacan;0
 Itajuipe; Camacan;0
 Itamaraju; Camacan;0
 Itanhem; Camacan;0
 Itapemirim; Camacan;0
 Itubera; Camacan;0
 Medeiros Neto; Camacan;0
 Mucuri; Camacan;0
 Nova Itarana; Camacan;0
 Nova Viçosa; Camacan;0
 Oruçu; Camacan;0
 Paulo Afonso; Camacan;0
 Porto Seguro; Camacan;0
 Potiragua; Camacan;0
 Prado; Camacan;0
 Salvador; Camacan;0
 Teixeira de Freitas; Camacan;0
 Una; Camacan;0
 Uruçuba; Camacan;0
 Valencia; Camacan;0
 Vitoria da Conquista; Camacan;0
 Acopiara; Camacan;0
 Goiania; Camacan;0
 Araujos; Camacan;0
 Imperatriz; Camacan;0
 Sao Luis; Camacan;0
   Aimorés; Camacan;0
   Belo Horizonte; Camacan;0
   Bertopolis; Camacan;0
   Cachoeira da Prata; Camacan;0
   Caete; Camacan;0
   Carangola; Camacan;0
   Caratinga; Camacan;0
   Conceiçao Capim; Camacan;0
   Conselheiro Pena; Camacan;0
   Governador Valadares; Camacan;0
   Iapu; Camacan;0
   Ipatinga; Camacan;0
   Itabira; Camacan;0
   Itabirim de Mantena; Camacan;0
   Itanhomi; Camacan;0
   Itauna; Camacan;0
   Januaria; Camacan;0
   Joao Monlevade; Camacan;0
   Juaima; Camacan;0
   Ladainha; Camacan;0
   Lajinhas; Camacan;0
   Mantena; Camacan;0
   Mantenopolis; Camacan;0
   Matipo; Camacan;0
   Miradouro; Camacan;0
   Mirai; Camacan;0
   Mutum; Camacan;0
   Nanuque; Camacan;0
   Nova Era; Camacan;0
   Nova Lima; Camacan;0
   Ouro Branco; Camacan;0
   Pocrane; Camacan;0
   Resplendor; Camacan;0
   Rio Casca; Camacan;0
   Salto da Divisa; Camacan;0
   Santa Luzia; Camacan;0
   Santo Antonio de Pádua; Camacan;0
   Sao Manoel de Mutu; Camacan;0
   Teofilo Otoni; Camacan;0
   Timoteo; Camacan;0
   Ubaitaba; Camacan;0
   Valadares; Camacan;0
   Varginha; Camacan;0
  Paraiba; Camacan;0
  Jatoba; Camacan;0
  Recife; Camacan;0
  Parnaíba; Camacan;0
  Campos Dos Goytacazes; Camacan;0
  Casemiro De Abreu; Camacan;0
  Mage; Camacan;0
  Miguel Pereira; Camacan;0
  Nova Iguaçu; Camacan;0
  Parati; Camacan;0
  Penha; Camacan;0
  Rio de Janeiro; Camacan;0
  Volta Redonda; Camacan;0
  Natal; Camacan;0
  Cachoeiro do Sul; Camacan;0
  Guaibes; Camacan;0
  Santa Barbara do Oeste; Camacan;0
  Santo Andre; Camacan;0
  Sao Paulo; Camacan;0
 Cajueiro; Camacan;0
 Itapebi; Camacan;0
  Afonso Claudio; Camacan;0
  Aguia Branca; Camacan;0
  Apiaca; Camacan;0
  Aracruz; Camacan;0
  Baixo Guandu; Camacan;0
  Barra de São Francisco; Camacan;0
  Cachoeiro de Itapemirim; Camacan;0
  Castelo; Camacan;0
  Colatina; Camacan;0
  Conceicao da Barra; Camacan;0
  Conselheiro Pena; Camacan;0
  Domingos Martins; Camacan;0
  Ecoporanga; Camacan;0
  Governador Lindemberg; Camacan;0
  Ibatiba; Camacan;0
  Ibiraçu; Camacan;0
  Itaguacu; Camacan;0
  Itaunas; Camacan;0
  Jerônimo Monteiro; Camacan;0
  Joao Neiva; Camacan;0
  Laranja da Terra; Camacan;0
  Linhares; Camacan;0
  Marataizes; Camacan;0
  Montanha; Camacan;0
  Muniz Freire; Camacan;0
  Nova Venécia; Camacan;0
  Pancas; Camacan;0
  Pinheiros; Camacan;0
  Presidente Kennedy; Camacan;0
  Santa Leopoldina; Camacan;0
  Santa Teresa; Camacan;0
  Sao Gabriel da Palha; Camacan;0
  Sao Mateus; Camacan;0
  Vila Pavao; Camacan;0
RMGV - Cariacica; Camacan;0
RMGV - Fundao; Camacan;0
RMGV - Serra; Camacan;0
RMGV - Viana; Camacan;0
RMGV - Vila Velha; Camacan;0
RMGV - Vitoria; Camacan;0
RMGV; Canavieiras;0
desconhecido - BA; Canavieiras;0
desconhecido - CE; Canavieiras;0
